S.No.,Hospital Name,A+,A-,B+,B-,O+,O-,AB+,AB-,Total Units,Last Updated Date
1,"M/S Vikash Sheel Seva Sansthan, Godda Hospital Pvt. Ltd",3,0,3,2,4,0,1,1,14,01-05-2024 08:58
2,Asarfi Blood Centre,0,0,4,0,5,0,1,0,10,01-05-2024 10:32
3,"Blood Bank, Sadar Hospital, Jamtara",2,1,2,0,11,0,0,0,16,01-05-2024 11:06
4,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",4,0,27,0,3,0,0,1,35,02-05-2024 07:26
5,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,02-05-2024 10:22
6,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,02-05-2024 10:22
7,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,02-05-2024 10:26
8,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,02-05-2024 10:26
9,Om Sai Blood Centre,0,0,2,0,2,0,1,0,5,02-05-2024 14:00
10,"Health Point Hospital, Blood Centre",2,0,3,0,0,0,0,0,5,03-05-2024 06:35
11,Lake View Hospital Blood Centre,1,0,2,0,1,0,0,0,4,03-05-2024 07:35
12,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",0,0,24,0,2,0,0,1,27,03-05-2024 07:52
13,Paras Hospital HEC,2,0,3,0,2,0,0,0,7,03-05-2024 08:14
14,Blood Bank Raj Hospital Ranchi,0,0,20,0,0,0,0,0,20,03-05-2024 08:15
15,"Blood Bank, Sadar Hospital, Palamu",1,2,129,0,1,0,32,1,166,03-05-2024 08:30
16,"Blood Bank Division, Devkamal Hospital & Reseach Centere",7,1,21,0,20,0,0,1,50,03-05-2024 08:32
17,"Blood Bank Division, Devkamal Hospital & Reseach Centere",7,1,21,0,20,0,0,1,50,03-05-2024 08:33
18,"Blood Bank, Sadar Hospital, Giridih",7,0,12,0,20,2,0,0,41,03-05-2024 09:30
19,"Blood Bank, C.C.L. RANCHI",4,0,6,0,6,0,0,0,16,03-05-2024 09:44
20,"Blood Bank, Shanti Bhawan Medical Centre Simdega",4,0,1,0,1,0,1,0,7,03-05-2024 09:47
21,Blood Bank Dhanbad,0,0,26,1,11,2,1,0,41,03-05-2024 09:58
22,"Blood Bank, C.C.L. RANCHI",5,0,6,0,6,0,0,0,17,03-05-2024 10:19
23,"M/S Vikash Sheel Seva Sansthan, Godda Hospital Pvt. Ltd",3,0,2,2,4,0,2,1,14,03-05-2024 10:23
24,Asarfi Blood Centre,0,0,6,0,5,0,1,0,12,03-05-2024 10:33
25,"Blood Bank, Medanta Hospital, RANCHI",0,0,8,0,7,0,1,0,16,03-05-2024 11:23
26,SINGHPUR NURSING HOME BLOOD CENTRE,6,0,10,0,3,0,0,0,19,03-05-2024 11:48
27,"Blood Bank, Sadar Hospital,Deoghar",2,1,0,0,10,1,2,0,16,03-05-2024 13:24
28,"Blood Bank, Sadar Hospital, Dumka",20,6,56,1,64,3,12,1,163,03-05-2024 15:59
29,"Gurunanak Hospital & Research Centre Blood Bank Unit, RANCHI",5,0,62,0,70,0,4,0,141,04-05-2024 07:11
30,"Gurunanak Hospital & Research Centre Blood Bank Unit, RANCHI",5,0,50,0,75,0,9,0,139,01-05-2024 00:53
31,SADAR HOSPITAL RANCHI,1,0,0,0,0,0,0,0,1,01-05-2024 05:52
32,"M/s Blood Bank, Bramhanand Narayan Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,01-05-2024 06:59
33,Lake View Hospital Blood Centre,2,0,3,0,1,0,0,0,6,01-05-2024 07:19
34,Lake View Hospital Blood Centre,2,0,3,0,1,0,0,0,6,01-05-2024 07:19
35,Lake View Hospital Blood Centre,2,0,3,0,1,0,0,0,6,01-05-2024 07:19
36,Lake View Hospital Blood Centre,2,0,3,0,1,0,0,0,6,01-05-2024 07:20
37,Blood Bank Raj Hospital Ranchi,0,0,23,0,0,0,0,0,23,01-05-2024 08:18
38,Paras Hospital HEC,0,0,3,0,0,0,0,0,3,01-05-2024 08:21
39,Samford Hospital Pvt Ltd,0,0,1,0,2,0,0,0,3,01-05-2024 09:28
40,SINGHPUR NURSING HOME BLOOD CENTRE,5,0,9,1,4,0,0,0,19,01-05-2024 10:06
41,"Blood Bank, Sadar Hospital, Palamu",3,2,128,0,3,0,29,0,165,01-05-2024 10:14
42,Blood Bank Dhanbad,0,0,30,1,7,2,1,0,41,01-05-2024 10:31
43,"Blood Bank, Sadar Hospital, Ramgarh",2,0,10,0,5,0,3,0,20,01-05-2024 10:39
44,"Blood Bank, Rajendra Institute of Medical Sciences,RANCHI",0,0,0,0,0,0,0,0,0,01-05-2024 10:42
45,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,01-05-2024 10:47
46,"Gurunanak Hospital & Research Centre Blood Bank Unit, RANCHI",2,0,56,0,76,0,1,0,135,02-05-2024 00:38
47,Lake View Hospital Blood Centre,2,0,3,0,1,0,0,0,6,02-05-2024 07:21
48,Blood Bank Raj Hospital Ranchi,0,0,23,0,0,0,0,0,23,02-05-2024 07:53
49,"Blood Bank, Shanti Bhawan Medical Centre Simdega",4,0,0,0,2,0,1,0,7,02-05-2024 08:58
50,"Blood Bank, Shanti Bhawan Medical Centre Simdega",4,0,1,0,1,0,1,0,7,02-05-2024 08:59
51,SINGHPUR NURSING HOME BLOOD CENTRE,4,0,10,0,3,0,0,0,17,02-05-2024 09:12
52,"Blood Bank, Sadar Hospital, Giridih",0,0,5,1,2,2,0,0,10,02-05-2024 09:32
53,"Blood Bank, Sadar Hospital, Giridih",0,0,5,1,2,2,0,0,10,02-05-2024 09:33
54,"Blood Bank, Medanta Hospital, RANCHI",1,0,4,1,4,0,1,0,11,02-05-2024 09:54
55,"Asian Dwarkadas Jalan Super Speciality Hospital,DHANBAD",0,0,32,0,30,1,0,0,63,02-05-2024 09:54
56,"Blood Bank, C.C.L. RANCHI",3,0,5,0,6,0,0,0,14,02-05-2024 09:56
57,"Blood Bank, Sadar Hospital, Palamu",4,2,127,0,8,0,26,0,167,02-05-2024 10:08
58,"Blood Bank, Sadar Hospital, Palamu",4,2,127,0,8,0,26,0,167,02-05-2024 10:08
59,"Blood Bank, Sadar Hospital, Ramgarh",2,0,8,0,5,0,3,0,18,02-05-2024 10:10
60,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,02-05-2024 10:22
61,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",2,0,19,0,11,0,0,0,32,02-05-2024 10:22
62,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,02-05-2024 10:22
63,Samford Hospital Pvt Ltd,0,0,2,0,2,0,0,0,4,02-05-2024 08:39
64,"Blood Bank, Sadar Hospital, Jamtara",0,1,0,0,10,0,0,0,11,03-05-2024 10:39
65,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,03-05-2024 10:39
66,"Blood Bank, Sadar Hospital, Jamtara",0,1,0,0,10,0,0,0,11,03-05-2024 10:39
